subject	rt	item_type	name	item	sentence	gender	response_type	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	eDucation	time_in_minutes
0	23070	bare	Jenny	kaffee	Der Kaffee ist kalt geworden.	F	speakerbelief	0.99	3	1440	900	Mac	Firefox	Deutsch	2	Female	33		Yes	3	5.4283
0	23070	bare	Jenny	kaffee	Der Kaffee ist kalt geworden.	F	evidence	evidence1	3	1440	900	Mac	Firefox	Deutsch	2	Female	33		Yes	3	5.4283
0	15894	wohl	Thomas	abendessen	Das Abendessen ist wohl fertig geworden.	M	speakerbelief	0.81	4	1440	900	Mac	Firefox	Deutsch	2	Female	33		Yes	3	5.4283
0	15894	wohl	Thomas	abendessen	Das Abendessen ist wohl fertig geworden.	M	evidence	evidence2	4	1440	900	Mac	Firefox	Deutsch	2	Female	33		Yes	3	5.4283
0	19617	muss	Anna	regen	Es muss geregnet haben.	F	speakerbelief	0.76	5	1440	900	Mac	Firefox	Deutsch	2	Female	33		Yes	3	5.4283
0	19617	muss	Anna	regen	Es muss geregnet haben.	F	evidence	evidence2	5	1440	900	Mac	Firefox	Deutsch	2	Female	33		Yes	3	5.4283
0	24142	vermutlich	Benjamin	hund	Der Nachbarshund hat vermutlich gebellt.	M	speakerbelief	0.64	6	1440	900	Mac	Firefox	Deutsch	2	Female	33		Yes	3	5.4283
0	24142	vermutlich	Benjamin	hund	Der Nachbarshund hat vermutlich gebellt.	M	evidence	evidence3	6	1440	900	Mac	Firefox	Deutsch	2	Female	33		Yes	3	5.4283
1	34785	vermutlich	Jessika	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	speakerbelief	0.38	3	1920	1200	Windows	Firefox		-1				Yes	-1	1.635883333
1	34785	vermutlich	Jessika	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	evidence	evidence4	3	1920	1200	Windows	Firefox		-1				Yes	-1	1.635883333
1	15983	bare	Kim	regen	Es hat geregnet.	F	speakerbelief	1	4	1920	1200	Windows	Firefox		-1				Yes	-1	1.635883333
1	15983	bare	Kim	regen	Es hat geregnet.	F	evidence	evidence1	4	1920	1200	Windows	Firefox		-1				Yes	-1	1.635883333
1	14487	muss	Karina	hund	Der Nachbarshund muss gebellt haben.	F	speakerbelief	0.49	5	1920	1200	Windows	Firefox		-1				Yes	-1	1.635883333
1	14487	muss	Karina	hund	Der Nachbarshund muss gebellt haben.	F	evidence	evidence2	5	1920	1200	Windows	Firefox		-1				Yes	-1	1.635883333
1	13111	wohl	Linda	kaffee	Der Kaffee ist wohl kalt geworden.	F	speakerbelief	0.47	6	1920	1200	Windows	Firefox		-1				Yes	-1	1.635883333
1	13111	wohl	Linda	kaffee	Der Kaffee ist wohl kalt geworden.	F	evidence	evidence4	6	1920	1200	Windows	Firefox		-1				Yes	-1	1.635883333
2	27247	vermutlich	David	kaffee	Der Kaffee ist vermutlich kalt geworden.	M	speakerbelief	0.2	3	1366	768	Windows	Chrome	deutsch	2	Female	34		Yes	1	2.044683333
2	27247	vermutlich	David	kaffee	Der Kaffee ist vermutlich kalt geworden.	M	evidence	evidence3	3	1366	768	Windows	Chrome	deutsch	2	Female	34		Yes	1	2.044683333
2	13414	muss	Sarah	abendessen	Das Abendessen muss fertig geworden sein.	F	speakerbelief	0.57	4	1366	768	Windows	Chrome	deutsch	2	Female	34		Yes	1	2.044683333
2	13414	muss	Sarah	abendessen	Das Abendessen muss fertig geworden sein.	F	evidence	evidence4	4	1366	768	Windows	Chrome	deutsch	2	Female	34		Yes	1	2.044683333
2	31484	wohl	Daniel	hund	Der Nachbarshund hat wohl gebellt.	M	speakerbelief	0.47	5	1366	768	Windows	Chrome	deutsch	2	Female	34		Yes	1	2.044683333
2	31484	wohl	Daniel	hund	Der Nachbarshund hat wohl gebellt.	M	evidence	evidence2	5	1366	768	Windows	Chrome	deutsch	2	Female	34		Yes	1	2.044683333
2	19148	bare	Georg	regen	Es hat geregnet.	M	speakerbelief	0.49	6	1366	768	Windows	Chrome	deutsch	2	Female	34		Yes	1	2.044683333
2	19148	bare	Georg	regen	Es hat geregnet.	M	evidence	evidence1	6	1366	768	Windows	Chrome	deutsch	2	Female	34		Yes	1	2.044683333
3	30513	wohl	Michael	hund	Der Nachbarshund hat wohl gebellt.	M	speakerbelief	0.79	3	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	3	2.448983333
3	30513	wohl	Michael	hund	Der Nachbarshund hat wohl gebellt.	M	evidence	evidence3	3	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	3	2.448983333
3	10322	muss	Mario	abendessen	Das Abendessen muss fertig geworden sein.	M	speakerbelief	0.8	4	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	3	2.448983333
3	10322	muss	Mario	abendessen	Das Abendessen muss fertig geworden sein.	M	evidence	evidence3	4	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	3	2.448983333
3	22663	vermutlich	Cynthia	kaffee	Der Kaffee ist vermutlich kalt geworden.	F	speakerbelief	0.8	5	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	3	2.448983333
3	22663	vermutlich	Cynthia	kaffee	Der Kaffee ist vermutlich kalt geworden.	F	evidence	evidence4	5	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	3	2.448983333
3	16509	bare	Joseph	regen	Es hat geregnet.	M	speakerbelief	0.99	6	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	3	2.448983333
3	16509	bare	Joseph	regen	Es hat geregnet.	M	evidence	evidence1	6	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	3	2.448983333
4	52319	bare	Karina	regen	Es hat geregnet.	F	speakerbelief	0.99	3	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	52319	bare	Karina	regen	Es hat geregnet.	F	evidence	evidence1	3	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	40542	muss	Maria	kaffee	Der Kaffee muss kalt geworden sein.	F	speakerbelief	0.51	4	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	40543	muss	Maria	kaffee	Der Kaffee muss kalt geworden sein.	F	evidence	evidence3	4	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	32795	wohl	Jakob	abendessen	Das Abendessen ist wohl fertig geworden.	M	speakerbelief	0.84	5	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	32795	wohl	Jakob	abendessen	Das Abendessen ist wohl fertig geworden.	M	evidence	evidence4	5	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	35888	vermutlich	Benjamin	hund	Der Nachbarshund hat vermutlich gebellt.	M	speakerbelief	0.29	6	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	35888	vermutlich	Benjamin	hund	Der Nachbarshund hat vermutlich gebellt.	M	evidence	evidence3	6	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
